about,authors,dateowned,gender,owner,shelfmark,texts
Bible moralisée fragment,Anonymous,1430?-1480?,Male,René d'Anjou,BnF fr. 166,Bible moralisée
Bible moralisée fragment,Anonymous,14??-1434?,Female,"Yolande of Aragon, duchess of Anjou",BnF fr. 166,Bible moralisée
Bible,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 536,Bible (in French)
Saultier,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 537,Psautier
Miroir du monde,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 538,Miroir du monde (unspecified)
Vie des saintz,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 539,Vies des saints
Bocace en francois,Giovanni Boccaccio,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 540,Unspecified Boccaccio
Livre des trois Maries,Pierre de Beauvais,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 541,Des trois Maries
Destruction de Jherusalem,Anonymous,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 542,Destruction de Jherusalem
Geu des esches,Jacques de Cessoles,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 543,Jeu d'echecs moralisés
Le vielle digest,Anonymous,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 544,Digest
Valerius maximus,Valerius Maximus,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 545,Unspecified Valerius Maximus
Epistres de Senecque,Seneca the Younger,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 546,Lettres à Lucilius
Le viel chevalier,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 547,Le viel chevalier
Du Tresaurier,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 548,Du Tresaurier
Lerbolain,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 549,Lerbolain
La Passion nostre seigneur en parsonnaiges,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 550,La Passion nostre seigneur en parsonnaiges
Tusculane,Cicero,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 551,Tusculanes
La Destruction de Jherusalem a parsonaiges,"Anonymous,Eustache Marcade",14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 552,Mystère de la Vengeance Nostre Seigneur
Les nouvelles guerres (Les Chroniques de Froissart?),"Jean Froissart,",14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 553,"Chroniques,Les nouvelles guerres"
"Ung viel livre [...] commence ""Vous trouveres, etc.""",,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 554,Unspecified
Bible,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 555,Bible (in French)
Mandevie,Jean du Pin,14??-1478,Female,"Yolande of Valois, Duchess of Savoy","Bib. Naz. MS L III, 11 (no longer extant)",Mandevie (Livre de bonne vie)
"Ung aultre viel livre [...] commencant ""Cy pouvez entendre""",,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 556,"Ung aultre viel livre [...] commencant ""Cy pouvez entendre"""
Information des princes (aka Du Gouvernement des roys),Gilles de Rome,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 557,Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Il Decamerón,Giovanni Boccaccio,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 558,Il Decamerón
Opus animalium,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 559,Opus animalium
La Destruction de troye faicte en ryme,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 560,La Destruction de Troye en ryme
Information des princes (aka Du Gouvernement des roys),Gilles de Rome,1467?-1478,Female,"Yolande of Valois, Duchess of Savoy","Bib. Naz. MS 1652 (L III, 10)",Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Dante,Dante Alighieri,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 561,Unspecified Dante
Epistre Othea,Christine de Pizan,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 562,Epistre Othea
Bible,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 564,Bible (in French)
Des bonnes meurs,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 563,Livre des bonnes moeurs
Bible ystoriée,Pierre le Mangeur,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 565,Bible historiale
Juratoire et livre des fondations de la chapelle royale du Gué-de-Maulny,Anonymous,c. 1417,Female,"Yolande of Aragon, duchess of Anjou","Le Mans, BM MS 691",Juratoire et livre des fondations de la chapelle royale du Gué-de-Maulny
Des vices et vertus,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 569,Des vices et vertus
Les Epistres saint Bernard,Bernard of Clairvaux,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 566,Méditations de saint Bernard
Le Jeu saincte Marie a personaiges,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 567,Jeu saincte Marie a personaiges
Le Testament de Jean de Meun,Jean de Meun,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 568,Le Testament de Jean de Meun
Le Régime pour garder santé,Arnaud de Villeneuve,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",KBR MS 11198,Régime pour garder la santé
Ung bel livre,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 570,Unspecified
Mandevye,Jean du Pin,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 571,Mandevie (Livre de bonne vie)
Ung livre,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 572,Unspecified
Les Cronicques de Savoye,Jean Cabaret d'Orville,14??-1478,Female,"Yolande of Valois, Duchess of Savoy","Turin, Archives of State MS j.a.VI.18",Chronique de Savoie
Oraisons,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 573,Unspecified religious texts
Ung petit livre [...] par Mario Filerfo,Giovanni Mario Filelfo,post-1450?-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 574,Unspecified Filelfo
Un livre [...] a xxiii parsonaiges,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 575,Unspecified play
Les sept pheaumes,Anonymous,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 576,Sept pseaulmes penitenciaux
Le Livre de crestine,Christine de Pizan,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 577,Unspecified Christine de Pizan
Le Miroir du monde,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 578,Miroir du monde (unspecified)
Saultier,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 579,Psautier
Les ditz moraulx du philosophe,Guillaume de Tignonville,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 580,Dits moraux des philosophes
Pontifical,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 581,Pontifical
Un bel livre [...] pour confesser,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 582,Unspecified religious texts
L'Avision Christine,Christine de Pizan,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 583,L'Advision Christine
De la belle Helaine,Anonymous,post-1448-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 584,Belle Hélène de Constantinople en prose
Le Fillogue,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 585,Le Fillogue
Saultier,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 586,Psautier
Plinii,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 587,Unspecified Pliny
Roman de la Rose,"Guillaume de Lorris,Jean de Meun",14??-1478,Female,"Yolande of Valois, Duchess of Savoy","Bib. Naz. MS L III, 28","Le Roman de la Rose (Guillaume de Lorris),Le Roman de la Rose (Jean de Meun)"
Listoire saint Allexis en parsonaiges,Anonymous,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 588,Mystère de saint Alexis
Ung livre,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 589,Unspecified French Text
De l'agnel rosty,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 590,De l'agnel rosty
Pontifical,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 591,Pontifical
Ung livret,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 592,Unspecified
"Ung petit livre [...] commencant ""Misericordia et veritas""",,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 593,Unspecified religious texts
Livre de Ballaan en istoire pour jouer,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 594,Mystère de Balaan
Quatre oraysons du Cardinal Bessarion,"Basilios Bessarion, Cardinal",post-1470,Male,"Guillaume Fichet, scholar and printer","Bib. Naz. MS I V, 16 (no longer extant)",Orationes de bello Turcis inferendo
Quatre oraysons du Cardinal Bessarion,"Basilios Bessarion, Cardinal",147?-1478,Female,"Yolande of Valois, Duchess of Savoy","Bib. Naz. MS I V, 16 (no longer extant)",Orationes de bello Turcis inferendo
Livre sur l'enseignement du parler et du taire; De l'amour et de la dilection de Dieu,"Albert of Brescia,Albert of Brescia",c. 1430-1451?,Male,Amadeus VIII of Savoy,KBR MS 10317-18,"Livre sur l'enseignement du parler et du taire,De l'amour et de la dilection de Dieu"
Livre sur l'enseignement du parler et du taire; De l'amour et de la dilection de Dieu,"Albert of Brescia,Albert of Brescia",1451?-1478,Female,"Yolande of Valois, Duchess of Savoy",KBR MS 10317-18,"Livre sur l'enseignement du parler et du taire,De l'amour et de la dilection de Dieu"
De consolacion,Boethius,14??-1478,Female,"Yolande of Valois, Duchess of Savoy","Bib. Naz. MS 1670 (L IV, 9)",Livre de Consolation (unspecified trans.)
La Vie des anciens peres,,14??-1478,Female,"Yolande of Valois, Duchess of Savoy",NE 595,Vie des Peres
Unes belles grandes heures,Anonymous,16 February 1498-1519?,Female,"Blanche of Montferrat, Duchess of Savoy",NE 596,Livre d'heures
La Fleur des histoires (vol. 1),Jean Mansel,1490-1498?,Female,"Blanche of Montferrat, Duchess of Savoy",BnF fr. 296,La Fleur des histoires
La Fleur des histoires (vol. 1),Jean Mansel,1482-1490,Male,"Charles I, duke of Savoy",BnF fr. 296,La Fleur des histoires
La Fleur des histoires (vol. 1),Jean Mansel,1531-1547,Male,Francis I of France,BnF fr. 296,La Fleur des histoires
La Fleur des histoires (vol. 1),Jean Mansel,1470?-1482,Male,Jean-Louis of Savoy,BnF fr. 296,La Fleur des histoires
La Fleur des histoires (vol. 1),Jean Mansel,1499-1531?,Female,"Louise of Savoy, duchess of Angouleme and Bourbon",BnF fr. 296,La Fleur des histoires
La Fleur des histoires (vol. 1),Jean Mansel,1498?-1499,Female,"Yolande-Louise of Savoy, Duchess of Savoy",BnF fr. 296,La Fleur des histoires
La Fleur des histoires (vol. 2),Jean Mansel,1490-1498?,Female,"Blanche of Montferrat, Duchess of Savoy",BnF fr. 297,La Fleur des histoires
La Fleur des histoires (vol. 2),Jean Mansel,1482-1490,Male,"Charles I, duke of Savoy",BnF fr. 297,La Fleur des histoires
La Fleur des histoires (vol. 2),Jean Mansel,1531?-1547,Male,Francis I of France,BnF fr. 297,La Fleur des histoires
La Fleur des histoires (vol. 2),Jean Mansel,1470?-1482,Male,Jean-Louis of Savoy,BnF fr. 297,La Fleur des histoires
La Fleur des histoires (vol. 2),Jean Mansel,1499?-1531?,Female,"Louise of Savoy, duchess of Angouleme and Bourbon",BnF fr. 297,La Fleur des histoires
La Fleur des histoires (vol. 2),Jean Mansel,1498?-1499,Female,"Yolande-Louise of Savoy, Duchess of Savoy",BnF fr. 297,La Fleur des histoires
La Fleur des histoires (vol. 3),Jean Mansel,1490-1498?,Female,"Blanche of Montferrat, Duchess of Savoy",BnF fr. 298,La Fleur des histoires
La Fleur des histoires (vol. 3),Jean Mansel,1482-1490,Male,"Charles I, duke of Savoy",BnF fr. 298,La Fleur des histoires
La Fleur des histoires (vol. 3),Jean Mansel,1531?-1547,Male,Francis I of France,BnF fr. 298,La Fleur des histoires
La Fleur des histoires (vol. 3),Jean Mansel,1470?-1482,Male,Jean-Louis of Savoy,BnF fr. 298,La Fleur des histoires
La Fleur des histoires (vol. 3),Jean Mansel,1499?-1531?,Female,"Louise of Savoy, duchess of Angouleme and Bourbon",BnF fr. 298,La Fleur des histoires
La Fleur des histoires (vol. 3),Jean Mansel,1498?-1499,Female,"Yolande-Louise of Savoy, Duchess of Savoy",BnF fr. 298,La Fleur des histoires
La Fleur des histoires (vol. 4),Jean Mansel,1490-1498?,Female,"Blanche of Montferrat, Duchess of Savoy",BnF fr. 299,La Fleur des histoires
La Fleur des histoires (vol. 4),Jean Mansel,1482-1490,Male,"Charles I, duke of Savoy",BnF fr. 299,La Fleur des histoires
La Fleur des histoires (vol. 4),Jean Mansel,1531?-1547,Male,Francis I of France,BnF fr. 299,La Fleur des histoires
La Fleur des histoires (vol. 4),Jean Mansel,1470?-1482,Male,Jean-Louis of Savoy,BnF fr. 299,La Fleur des histoires
La Fleur des histoires (vol. 4),Jean Mansel,1499?-1531?,Female,"Louise of Savoy, duchess of Angouleme and Bourbon",BnF fr. 299,La Fleur des histoires
La Fleur des histoires (vol. 4),Jean Mansel,1498?-1499,Female,"Yolande-Louise of Savoy, Duchess of Savoy",BnF fr. 299,La Fleur des histoires
La Vie des saincts,,1498?-1519?,Female,"Blanche of Montferrat, Duchess of Savoy",NE 597,Vies des saints
Bible historiale,Pierre le Mangeur,1498?-1519?,Female,"Blanche of Montferrat, Duchess of Savoy",NE 598,Bible historiale
Le grant volume de Titus livius,Titus Livy,1498?-1519?,Female,"Blanche of Montferrat, Duchess of Savoy",NE 599,Décades
Somme le roi/Miroir du monde,Frère Laurent,1483-1530,Female,"Margaret of Austria, duchess of Savoy",KBR MS 10204,Somme le roi
Somme le roi/Miroir du monde,Frère Laurent,c. 1470-1483,Female,"Margaret of Bourbon, (posthumous) duchess of Savoy",KBR MS 10204,Somme le roi
Hours of Catherine of Cleves,Anonymous,c. 1440,Female,"Catherine of Cleves, Duchess of Guelders",PML MS M 917/945,Livre d'heures
The Letter of Othea (Scrope trans.),Christine de Pizan,c. 1487-1501,Female,Emelyn Bremschet,"Cambridge, St. John's College MS H 5 (MS 208)",The Letter of Othea (Scrope Trans.)
Traité de la sphère; Du ciel et du monde,"Aristotle,Aristotle",1410?-1416?,Male,John Duke of Berry,BnF fr. 565,"Du Ciel et du monde,Traité de la sphère"
Traité de la sphère; Du ciel et du monde,"Aristotle,Aristotle",June 1416?-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF fr. 565,"Du Ciel et du monde,Traité de la sphère"
Roman de Troyle,Giovanni Boccaccio,c. 1455-14??,Female,"Marie of Cleves, duchess of Orleans",NE 600,Troyle
Avis à Yolande d'Aragon,Anonymous,c. 1425-1442?,Female,"Yolande of Aragon, duchess of Anjou",BnF fr. 1223,Avis à Yolande d'Aragon
Bible moralisée,"Anonymous,Anonymous",14??-1499?,Female,Isabella I of Castile,BnF fr. 9561,"Bible moralisée,Images du Nouveau Testament"
Bible moralisée,"Anonymous,Anonymous",13??-1417?,Male,Louis II of Anjou,BnF fr. 9561,"Bible moralisée,Images du Nouveau Testament"
Bible moralisée,"Anonymous,Anonymous",15??-1530?,Female,"Margaret of Austria, duchess of Savoy",BnF fr. 9561,"Bible moralisée,Images du Nouveau Testament"
Bible moralisée,"Anonymous,Anonymous",1417?-1442?,Female,"Yolande of Aragon, duchess of Anjou",BnF fr. 9561,"Bible moralisée,Images du Nouveau Testament"
Breviaire de Jean sans Peur (companion to BL Harley MS 2897),,1413?-1419?,Male,John the Fearless,BL Add. MS 35311,Breviaire
Breviaire de Jean sans Peur (companion to BL Harley MS 2897),,1413?-1424?,Female,"Margaret of Bavaria, duchess of Burgundy",BL Add. MS 35311,Breviaire
Somme de Hostiense,Henry of Segusio (aka Hostiensis),21 July 1466-1471?,Female,"Isabella of Portugal, duchess of Burgundy",NE 464,Summa Aurea
Somme de Hostiense,Henry of Segusio (aka Hostiensis),14??-1466,Male,"Jehan le Bon, canon of Cassel",NE 464,Summa Aurea
Apparat d'Innocens,Pope Innocent IV,21 July 1466-1471?,Female,"Isabella of Portugal, duchess of Burgundy",NE 601,Apparatus in quinque libros decretalium
Apparat d'Innocens,Pope Innocent IV,14??-1466,Male,"Jehan le Bon, canon of Cassel",NE 601,Apparatus in quinque libros decretalium
Rosarium,Guy de Baysio,21 July 1466-1471?,Female,"Isabella of Portugal, duchess of Burgundy",NE 602,Rosarium
Rosarium,Guy de Baysio,14??-1466,Male,"Jehan le Bon, canon of Cassel",NE 602,Rosarium
Liber Sextus Decretalium,Boniface VIII,21 July 1466-1471?,Female,"Isabella of Portugal, duchess of Burgundy",NE 603,Liber Sextus Decretalium
Liber Sextus Decretalium,Boniface VIII,14??-1466,Male,"Jehan le Bon, canon of Cassel",NE 603,Liber Sextus Decretalium
Code sur droit civil,Anonymous,21 July 1466-1471?,Female,"Isabella of Portugal, duchess of Burgundy",NE 604,Code sur droit civil
Code sur droit civil,Anonymous,14??-1466,Male,"Jehan le Bon, canon of Cassel",NE 604,Code sur droit civil
Comment le [...] roy de Portugal prinst par assault la ville de Azille (portion of the Anciennes chroniques d'Angleterre),Geoffrey of Monmouth,1471,Female,"Isabella of Portugal, duchess of Burgundy",NE 606,Anciennes chroniques d'Angleterre
De vita et regimine principissae,Denis the Carthusian,1467?-1471,Female,"Isabella of Portugal, duchess of Burgundy",NE 607,De vita et regimine principissae
Pas de Saumur,Anonymous,c. 1449-1453?,Female,"Isabella, Duchess of Lorraine",NE 608,Pas de Saumur
Livre des trois vertus,Christine de Pizan,1405-1442?,Female,"Margaret of Burgundy, duchess of Guyenne",NE 609,Le Livre des trois vertus
Heures à l'usaige de Rome,Anonymous,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 610,Livre d'heures
Heures à l'usaige de Paris,Anonymous,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 611,Livre d'heures
Heures armoyées aux armes de la duchesse Ysabeau,Anonymous,14??-1455?,Female,"Isabella Stuart, duchess of Brittany",NE 612,Livre d'heures
Heures armoyées aux armes de la duchesse Ysabeau,Anonymous,1455?-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 612,Livre d'heures
Heures audit usaige de Paris,Anonymous,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 613,Livre d'heures
Heures de Marguerite d'Orléans,Anonymous,1466?-1469,Female,"Margaret of Brittany, duchess of Brittany",BnF lat. 1156B,Livre d'heures
Heures de Marguerite d'Orléans,Anonymous,14??-1466?,Female,"Margaret of Orleans, countess of Vertus",BnF lat. 1156B,Livre d'heures
Des Vertuz que les dames doivent avoir,,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 615,Des Vertuz que les dames doivent avoir
Disputacion du corps et de l'âme,Nicole Bozon,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 616,De[s]putoison du corps et de l'ame
Paris et Vienne,Pierre de la Cépède,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 617,Paris et Vienne
Meditacions de la Vie Nostre-Seigneur,Henri de Baume,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 618,Meditation sur la vie de Jesus Christ
Livre de Ponthus,Anonymous,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 619,Pontus et Sidoine
Troylus,Giovanni Boccaccio,post-1450-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 620,Troyle
Belle dame sans mercy,Alain Chartier,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 621,Belle Dame sans Merci
Livre de devocions,,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 622,Unspecified religious texts
Un petit livre...de Confession,,14??-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 623,Confession
Un petit livre ... de devocion,,145?-1469,Female,"Margaret of Brittany, duchess of Brittany",NE 624,Unspecified religious texts
Mélibée et Prudence; Apollonius de Tyr; Griseldis; Vie de sainte Marguerite (prose),"Petrarch,Albert of Brescia,Anonymous,Anonymous",post-1436-1469?,Female,"Louise de la Tour d'Auvergne, lady of Créquy",BnF fr. 20042,"La Patience de Griseldis (version B),Mélibée et Prudence,Apollonius de Tyr,Vie de sainte Marguerite (prose): Apres la sainte resurrection de Nostre Seigneur"
Cité de Dieu (first 10 books),St. Augustine,1496-1523?,Male,Charles III of Bourbon,Arsenal fr. 5135,Cité de Dieu
Cité de Dieu (first 10 books),St. Augustine,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",Arsenal fr. 5135,Cité de Dieu
Cité de Dieu (first 10 books),St. Augustine,1486?-1496,Male,Gilbert de Bourbon-Montpensier,Arsenal fr. 5135,Cité de Dieu
Cité de Dieu (first 10 books),St. Augustine,1474-1486?,Male,Louis I de Bourbon-Montpensier,Arsenal fr. 5135,Cité de Dieu
Cité de Dieu (books 11-22),St. Augustine,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 260,Cité de Dieu
Cité de Dieu (books 11-22),St. Augustine,1486?-1496,Male,Gilbert de Bourbon-Montpensier,NE 260,Cité de Dieu
Cité de Dieu (books 11-22),St. Augustine,1474-1486?,Male,Louis I de Bourbon-Montpensier,NE 260,Cité de Dieu
La histoiria de la linda Melosina,Jean d'Arras,1497?-1530,Female,"Margaret of Austria, duchess of Savoy",KBR INC B840,La Historia de la linda Melosina
Passion de saint Adrien,Anonymous,1463?-1476,Female,"Agnes of Burgundy, duchess of Bourbon",Chantilly MS 737,Passion de saint Adrien
Passion de saint Adrien,Anonymous,c. 1458-1463?,Male,Philip the Good,Chantilly MS 737,Passion de saint Adrien
Les Trois fils de rois; poems,"Anonymous,Anonymous,Anonymous",post-1462-1469,Female,"Louise de la Tour d'Auvergne, lady of Créquy",BnF fr. 1498,"Les trois fils de rois,Poème: Si envers vous jay rien meppris,Poème: Jamais en beau"
Livre d'heures,Anonymous,1434-14??,Female,"Jeanne de Créquy, Lady of Bugnicourt",Abdij Keizersberg MS 5,Livre d'heures
Livre d'heures,Anonymous,1395-1434,Female,"Jeanne de Roye, Lady of Créquy",Abdij Keizersberg MS 5,Livre d'heures
Livre d'heures,Anonymous,14??-1497,Female,"Yoland of Lalaing, Lady of Vianen",Abdij Keizersberg MS 5,Livre d'heures
Belle Hélène de Constantinople en alexandrins,Anonymous,1469-1509,Female,"Jacqueline de Créquy, Marquess of Canillac",Lyon BM MS 767,Belle Hélène de Constantinople en alexandrins
Belle Hélène de Constantinople en alexandrins,Anonymous,1456?-1469,Female,"Louise de la Tour d'Auvergne, lady of Créquy",Lyon BM MS 767,Belle Hélène de Constantinople en alexandrins
Loenge de Madame de Bourbon,Jacques de Brézé,post-1488-1522?,Female,"Anne of France, duchess of Bourbon",NE 625,Loenge de Madame de Bourbon
Temple d'honneur et de vertus,Jean Lemaire de Belges,1504?-1522?,Female,"Anne of France, duchess of Bourbon",NEP 26,Temple d'honneur et de vertus
La Légende dorée (vol. 2),Jacobus de Voragine,c. 1485-1529,Female,"Catherine of Coëtivy, lady of Magné",BnF fr. 245,Légende dorée (trans. de Vignay)
Les grandes Chroniques de France (vol. 2),"Primat,Richard Lescot",post-1458-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 2612,Grandes chroniques de France
Miroir historial (vol. 1),Vincent of Beauvais,1408-1465,Male,Charles d'Orleans,BnF fr. 312,Miroir historial (complete text)
Miroir historial (vol. 1),Vincent of Beauvais,1396-1407,Male,Louis Duke of Orléans,BnF fr. 312,Miroir historial (complete text)
Miroir historial (vol. 1),Vincent of Beauvais,1501-1515,Male,Louis XII of France,BnF fr. 312,Miroir historial (complete text)
Miroir historial (vol. 1),Vincent of Beauvais,1465-1487,Female,"Marie of Cleves, duchess of Orleans",BnF fr. 312,Miroir historial (complete text)
Miroir historial (vol. 1),Vincent of Beauvais,1407-1408,Female,"Valentina Visconti, duchess of Orleans",BnF fr. 312,Miroir historial (complete text)
Mirour historial (vol. 2),Vincent of Beauvais,1408-1465,Male,Charles d'Orleans,BnF fr. 313,Miroir historial (complete text)
Mirour historial (vol. 2),Vincent of Beauvais,c. 1396-1407,Male,Louis Duke of Orléans,BnF fr. 313,Miroir historial (complete text)
Mirour historial (vol. 2),Vincent of Beauvais,1501-1515,Male,Louis XII of France,BnF fr. 313,Miroir historial (complete text)
Mirour historial (vol. 2),Vincent of Beauvais,1465-1487,Female,"Marie of Cleves, duchess of Orleans",BnF fr. 313,Miroir historial (complete text)
Mirour historial (vol. 2),Vincent of Beauvais,1407-1408,Female,"Valentina Visconti, duchess of Orleans",BnF fr. 313,Miroir historial (complete text)
Miroir historial (vol. 3 - set with BnF fr. 312-14),Vincent of Beauvais,1408-1443?,Male,Charles d'Orleans,NE 257,Miroir historial (complete text)
Miroir historial (vol. 3 - set with BnF fr. 312-14),Vincent of Beauvais,c. 1396-1407,Male,Louis Duke of Orléans,NE 257,Miroir historial (complete text)
Miroir historial (vol. 3 - set with BnF fr. 312-14),Vincent of Beauvais,1407-1408,Female,"Valentina Visconti, duchess of Orleans",NE 257,Miroir historial (complete text)
Vita Christi (vol. 2),Ludolphe de Saxe,1484-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 408,"Vita Christi (fr., trans. Anon.): Ainsi que dit l'Apostre"
Vita Christi (vol. 2),Ludolphe de Saxe,1482-December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 408,"Vita Christi (fr., trans. Anon.): Ainsi que dit l'Apostre"
Pèlerinage de Vie humaine,Guillaume de Digulleville,1504?-1530,Female,"Margaret of Austria, duchess of Savoy",BnF fr. 12462,"Pèlerinage de vie humaine, 2nd redaction"
Pèlerinage de Vie humaine,Guillaume de Digulleville,13??-c. 1400,Female,"Margaret of Flanders, duchess of Burgundy",BnF fr. 12462,"Pèlerinage de vie humaine, 2nd redaction"
Pèlerinage de Vie humaine,Guillaume de Digulleville,c. 1400-1422,Female,"Marie of Burgundy, duchess of Savoy",BnF fr. 12462,"Pèlerinage de vie humaine, 2nd redaction"
Breviary of Queen Isabella of Castille,,c. 1497,Male,Francisco de Rojas,BL Add. MS 18851,Breviary
Breviary of Queen Isabella of Castille,,c. 1497-1504,Female,Isabella I of Castile,BL Add. MS 18851,Breviary
Les Douze périls d'enfer,Robert Blondel,14??-1463,Female,"Marie of Anjou, queen of France",NE 258,Les Douze périls d'enfer
Livre des faits de messire Bertrand du Guesclin,Anonymous,c. 1387-1404,Female,"Marie of Blois, duchess of Anjou",NE 262,Livre des faits de messire Bertrand du Guesclin
Heures de Nostre Dame,Anonymous,1443-1477?,Male,Charles the Bold,NE 605,Livre d'heures
Heures de Nostre Dame,Anonymous,1443,Female,"Isabella of Portugal, duchess of Burgundy",NE 605,Livre d'heures
Heures de Nostre Dame,Anonymous,14??-1443,Male,"Jaqueme Lapostele, bookseller",NE 605,Livre d'heures
Hours of Mary of Burgundy,Anonymous,147?,Female,"Margaret of York, duchess of Burgundy",ONB Cod. 1857,Livre d'heures
Hours of Mary of Burgundy,Anonymous,147?-1482,Female,"Marie of Burgundy, duchess of Burgundy",ONB Cod. 1857,Livre d'heures
ABC,,c. 1415-1432?,Female,"Joan of Orléans, duchess of Alençon",NE 188,ABCD des psaumes
Consolation a un grant seigneur en tribulation,,14??-14??,Male,Charles d'Orleans,NE 265,Consolation a un grant seigneur en tribulation
Consolation a un grant seigneur en tribulation,,14??-1463?,Female,"Marie of Anjou, queen of France",NE 265,Consolation a un grant seigneur en tribulation
Conqueste de Jherusalem,"Richard the Pilgrim,Graindor de Douai",pre-1440-1465,Male,Charles d'Orleans,NE 274,Conqueste de Jherusalem
Conqueste de Jherusalem,"Richard the Pilgrim,Graindor de Douai",14??-pre-1440,Female,"Margaret of Orleans, countess of Vertus",NE 274,Conqueste de Jherusalem
